Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
High Corr.,S_SVC,"(200, 2, 0.1, 4)",0.8216,0.021,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 5)",0.8204,0.014,0.799,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 4)",0.8182,0.0231,0.799,0.0
High Corr.,S_SVC,"(100, 4, 0.1, 4)",0.8204,0.0169,0.799,0.0
High Corr.,S_SVC,"(400, 2, 0.1, 5)",0.826,0.0141,0.799,0.0
High Corr.,S_SVC,"(600, 2, 0.1, 5)",0.8272,0.0232,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 3)",0.826,0.0141,0.7967,0.0
High Corr.,S_SVC,"(200, 2, 0.1, 3)",0.8204,0.0117,0.7967,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 5)",0.8204,0.0183,0.7967,0.0
High Corr.,S_SVC,"(400, 2, 0.1, 4)",0.8204,0.0215,0.7943,0.0
High Corr.,S_SVC,"(400, 2, 0.1, 3)",0.8283,0.0229,0.7943,0.0
High Corr.,S_SVC,"(100, 4, 0.1, 3)",0.8249,0.018,0.7943,0.0
High Corr.,S_SVC,"(600, 2, 0.1, 4)",0.8227,0.0247,0.7943,0.0
High Corr.,S_SVC,"(100, 4, 0.1, 5)",0.8216,0.0162,0.7943,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 3)",0.8238,0.0165,0.7943,0.0
High Corr.,S_SVC,"(600, 3, 0.1, 4)",0.8182,0.0198,0.7919,0.0
High Corr.,S_SVC,"(200, 2, 0.1, 5)",0.8193,0.0137,0.7919,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 4)",0.8249,0.0207,0.7919,0.0
High Corr.,S_SVC,"(400, 3, 0.1, 4)",0.8182,0.0231,0.7895,0.0
High Corr.,S_SVC,"(200, 4, 0.1, 5)",0.8249,0.0233,0.7895,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 2)",0.8249,0.0228,0.7895,0.0
High Corr.,S_SVC,"(600, 4, 0.1, 4)",0.8294,0.0238,0.7895,0.0
High Corr.,S_SVC,"(600, 2, 0.1, 3)",0.8328,0.0195,0.7895,0.0
High Corr.,S_SVC,"(400, 4, 0.1, 4)",0.8249,0.0245,0.7871,0.0
High Corr.,S_SVC,"(600, 3, 0.1, 5)",0.8249,0.0177,0.7871,0.0
High Corr.,S_SVC,"(400, 4, 0.1, 5)",0.8261,0.0242,0.7871,0.0
High Corr.,S_SVC,"(600, 2, 0.1, 2)",0.8316,0.0211,0.7871,0.0
High Corr.,S_SVC,"(400, 2, 0.1, 2)",0.8272,0.0234,0.7871,0.0
High Corr.,S_SVC,"(600, 3, 0.1, 3)",0.8283,0.0182,0.7871,0.0
High Corr.,S_SVC,"(100, 2, 0.1, 3)",0.8283,0.0211,0.7871,0.0
High Corr.,S_SVC,"(200, 4, 0.1, 4)",0.8249,0.025,0.7871,0.0
High Corr.,S_SVC,"(200, 4, 0.1, 2)",0.8294,0.0201,0.7871,0.0
High Corr.,S_SVC,"(200, 2, 0.1, 2)",0.8249,0.0186,0.7871,0.0
High Corr.,S_SVC,"(100, 4, 0.1, 2)",0.8249,0.0181,0.7871,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 2)",0.8227,0.0194,0.7871,0.0
High Corr.,S_SVC,"(100, 2, 0.1, 4)",0.8216,0.0164,0.7871,0.0
High Corr.,S_SVC,"(400, 3, 0.1, 2)",0.8272,0.0147,0.7847,0.0
High Corr.,S_SVC,"(400, 3, 0.1, 5)",0.8238,0.0201,0.7847,0.0
High Corr.,S_SVC,"(400, 4, 0.1, 3)",0.8272,0.0215,0.7847,0.0
High Corr.,S_SVC,"(100, 2, 0.1, 5)",0.8204,0.0098,0.7847,0.0
High Corr.,S_SVC,"(600, 3, 0.1, 2)",0.8272,0.0178,0.7847,0.0
High Corr.,S_SVC,"(200, 4, 0.1, 3)",0.8249,0.0221,0.7847,0.0
High Corr.,S_SVC,"(600, 4, 0.1, 5)",0.8306,0.0238,0.7823,0.0
High Corr.,S_SVC,"(400, 4, 0.1, 2)",0.8306,0.0194,0.7823,0.0
High Corr.,S_SVC,"(400, 3, 0.1, 3)",0.8272,0.021,0.7799,0.0
High Corr.,S_SVC,"(100, 2, 0.1, 2)",0.8227,0.0149,0.7799,0.0
High Corr.,S_SVC,"(600, 4, 0.1, 2)",0.8306,0.0194,0.7775,0.0
High Corr.,S_SVC,"(600, 4, 0.1, 3)",0.8306,0.0247,0.7775,0.0
