Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11140457,"Penta Krishna Kishore","2023-10-27 09:11:11",1.00000,1,pentakrishnakishore
2,11145094,"abhinandan ghosh","2023-10-28 13:34:29",1.00000,2,abhi1311996
3,2759481,"Tad Kino","2023-10-28 07:19:31",1.00000,2,tadkino
4,11147979,"Annisa Garcia Lopez","2023-10-28 23:41:06",1.00000,1,annisagarcialopez
5,11149059,"SZU Bayes","2023-10-29 07:58:19",1.00000,1,bayes2003
6,11152694,"Steven  Liao","2023-10-30 03:55:10",1.00000,3,stevenwliao
7,11153925,"Bekzhan Azamatov","2023-10-31 02:43:09",1.00000,11,bekzhanazamatov
8,10948420,KimTaeHyeon_99,"2023-10-31 13:24:28",1.00000,30,kimtaehyeon99
9,11162719,cnzvan,"2023-10-31 12:31:45",1.00000,3,cnzvan
10,4759432,"Gaurav Srivastava (gk)","2023-10-31 15:44:58",1.00000,1,scipygaurav
11,11092788,tommotw,"2023-11-01 10:14:13",1.00000,1,tommotw
12,11170042,sdfadsf45,"2023-11-02 04:31:25",1.00000,11,sdfadsf45
13,11055511,"[Deleted] ebce7125-fcff-40be-ba47-e651032b7e11","2023-11-02 00:36:23",1.00000,3,del=31616ec70d581888
14,10989330,仲村一真,"2023-11-08 05:21:41",1.00000,15,kazuma1127
15,11131349,"Dinaiym Dubanaeva","2023-11-02 08:00:45",1.00000,6,dinaiymdubanaeva
16,10903742,"Aung Min Thein","2023-11-02 16:16:17",1.00000,2,aungminthein
17,11183482,Corteva,"2023-11-10 14:48:20",1.00000,5,corteva
18,11184999,Alec2gdut,"2023-11-05 02:42:45",1.00000,17,alec2gdut
19,11185769,charitha213,"2023-11-04 06:20:22",1.00000,1,charitha213
20,221819,Msdw,"2023-11-05 21:39:34",1.00000,1,mathurinache
21,11197449,XinyuYee,"2023-11-06 14:03:54",1.00000,2,xinyuyee
22,11197760,Acacia6896,"2023-11-24 09:22:26",1.00000,4,acacia6896
23,10768385,paccyo,"2023-11-06 15:16:51",1.00000,2,paccyo
24,11202413,NJUSTWJ,"2023-11-07 09:10:08",1.00000,2,njustwj
25,4309555,"현성 신","2023-11-08 04:49:40",1.00000,2,hssssss
26,11111519,おぱんつ葉加瀬太郎,"2023-11-08 12:57:26",1.00000,1,soreikebinbinman
27,5119724,"HAFIZ MUHAMMAD IMRAN KHAN","2023-11-08 13:50:08",1.00000,1,csmimrankhan
28,11203516,new_zhong,"2023-11-10 08:01:38",1.00000,19,newzhong
29,11218644,soymic,"2023-11-09 15:43:30",1.00000,8,soymic
30,11225801,Demian2435,"2023-11-10 22:55:44",1.00000,1,demian2435
31,11232370,Amihua,"2023-11-12 15:26:41",1.00000,1,amihua
32,11204195,"Abdelmola Albadwi","2023-11-12 19:32:26",1.00000,12,abdelmolaalbadwi
33,10912121,shuiyongmnig1,"2023-11-13 12:24:01",1.00000,2,shuiyongmnig1
34,11236936,300021-ปิติกร,"2023-11-13 15:25:15",1.00000,4,petong32
35,11020805,"Dai Fukunaga","2023-11-20 08:36:10",1.00000,15,daifukunaga
36,11231259,"OMAR ABDULKAREEM QASIM ","2023-11-16 15:21:34",1.00000,15,omarabdulkareemqasim
37,11239913,"Jayson Castillo","2023-11-20 07:47:50",1.00000,9,jaysoncastillo
38,11260283,"Jayden Li","2023-12-08 20:29:04",1.00000,5,jaydenatsms
39,11262214,ujimaa,"2023-11-18 13:13:14",1.00000,10,ujimaa
40,11265758,"Mehmet Can ŞENEL","2023-11-19 09:55:48",1.00000,2,mehmetcansenel
41,11072068,shojiaki,"2023-11-19 10:49:00",1.00000,2,shojiaki
42,11268643,"Halit ÖZOĞLU","2023-11-19 15:42:36",1.00000,1,halitozoglu
43,11269516,"George Ma #2","2023-11-19 20:49:06",1.00000,5,georgema111
44,11270554,motigome59,"2023-11-20 03:46:09",1.00000,3,motigome59
45,11273416,wooseoksongww,"2023-11-20 18:53:12",1.00000,10,wooseoksongww
46,11265453,"Sabah Aljajeh","2023-11-23 13:32:25",1.00000,5,sabahaljajeh
47,11282845,"[Deleted] 55df6d2a-4543-4e2a-8a6e-7e8f96da152d","2023-11-25 14:21:08",1.00000,3,del=2888b2f8898555c6
48,11283783,"atilla kaya26","2023-11-22 09:12:24",1.00000,1,atillakaya26
49,11252612,"JMS PTR","2023-11-22 10:24:54",1.00000,40,jmsptr
50,11284177,kanan,"2023-11-22 10:22:37",1.00000,1,kanan25
51,11283821,"[Deleted] 8a5af6a1-b4b1-42e4-aaca-1eba514416a8","2023-12-06 15:14:13",1.00000,14,del=b59005dd995d0f09
52,8937369,"Kenyo Odanaka","2023-11-23 06:51:28",1.00000,6,kenyoodanaka
53,1763654,"Pranshu Sahijwani","2023-11-23 09:30:34",1.00000,4,whopranshu
54,11291666,"Kevin Wu12","2023-11-23 16:37:44",1.00000,4,kevinwu12
55,11276887,"Francis Xavier Guimalan","2023-12-08 15:16:12",1.00000,23,francis099
56,11284523,"jungwoo song","2023-12-03 20:23:08",1.00000,23,jungwoosong
57,11301702,"Liu Enli","2023-11-26 04:23:41",1.00000,1,liuenli
58,11301937,"Kevin Tan #2","2023-11-26 05:07:14",1.00000,3,kttrine
59,11282722,tjdrnjsdl12,"2023-11-26 10:01:03",1.00000,9,tjdrnjsdl12
60,11282280,"Somya Bisen","2023-12-04 05:46:21",1.00000,14,somyabisen
61,11304193,wxf6580,"2023-11-26 15:44:59",1.00000,2,wxf6580
62,11301827,"Craig Fox","2023-11-26 18:08:17",1.00000,3,craigfox0
63,11108213,"Abhijith Aravind","2023-11-26 20:03:34",1.00000,4,abhijitharavind
64,11305891,"Zhiyu Huang","2023-11-27 01:17:43",1.00000,3,jameshuang23
65,11306160,"Yuhui Tang","2023-11-27 02:41:36",1.00000,3,tangyuhui9632
66,11290185,WangHaopu6976,"2023-11-30 03:39:31",1.00000,17,wanghaopu6976
67,11306705,"Sandeep Kumar Sangam Reddy","2023-11-27 05:43:19",1.00000,3,sandhipppp
68,11306921,"Shah Faizan Mohammed","2023-11-27 06:33:06",1.00000,3,shahfaizanmohammed
69,11306947,"Sharfuddin Mohammed #2","2023-11-27 06:38:35",1.00000,3,sharfuddin544
70,11306989,"Elma Ahmed","2023-11-27 06:46:16",1.00000,3,elmaahmed
71,11307009,"Abdul Danesh Akhter","2023-11-27 06:50:22",1.00000,3,abduldaneshakhter
72,11307058,"Mujtaba Mohiuddin","2023-11-27 07:03:38",1.00000,3,mujtabamohiuddin
73,11307141,"Ikram Ali Syed","2023-11-27 07:23:45",1.00000,3,ikramalisyed
74,11307171,"Zubair Mohammed","2023-11-27 07:30:35",1.00000,3,zubairmohammed6546
75,11307193,DhanunjayaNimmagadda,"2023-11-27 07:34:46",1.00000,3,dhanunjayanimmagadda
76,11307427,"Fnu Mohammed Ali Affan","2023-11-27 08:22:23",1.00000,3,fnumohammedaliaffan
77,11307502,"Mohammed Fazeel","2023-11-27 08:37:36",1.00000,3,mohammedfazeel
78,11307527,"syedakulsoom jabeen","2023-11-27 08:41:15",1.00000,3,syedakulsoomjabeen
79,11307550,"yuvaraj doosari","2023-11-27 08:45:57",1.00000,3,yuvarajdoosari
80,11307581,"Mohammed abdul saleem ","2023-11-27 08:50:51",1.00000,3,mohammedabdulsaleem
81,11307644,"Syed Abid Ur Rahman","2023-11-27 09:00:32",1.00000,3,syedabidurrahman
82,11307679,"Fnu Mohammed Haji","2023-11-27 09:07:58",1.00000,3,fnumohammedhaji
83,11307701,"Siddiq mohammed","2023-11-27 09:13:01",1.00000,3,siddiqtrine
84,11307720,makramkhan,"2023-11-27 09:17:32",1.00000,3,makramkhan
85,11307745,"Imran Azhar Syed","2023-11-27 09:22:09",1.00000,3,imranazharsyed
86,11307771,"Abdul Muqtadir Mohammed","2023-11-27 09:27:56",1.00000,3,mamuqtadir
87,11307800,"Jamsheed mohammed","2023-11-27 09:34:30",1.00000,3,jamsheedmohammed
88,11307890,"Mohammed Irfan fnu","2023-11-27 09:51:42",1.00000,3,mohammedirfanfnu
89,11307907,"Haseena Parveen ","2023-11-27 09:54:55",1.00000,3,hfazulullah23
90,11307922,"ASRAR AHMED SIDDIQUI ","2023-11-27 09:59:11",1.00000,3,asrarsiddiqui007
91,11308145,"MOHIUDDIN ZUBAIR","2023-11-27 10:46:37",1.00000,3,mohiuddinzubair
92,11308167,"Mohammad Shoaib #4","2023-11-27 10:50:51",1.00000,3,mohammadshoaib23
93,11308184,Krishna.varma22,"2023-11-27 10:53:48",1.00000,3,krishnavarma22
94,11309942,"Ted Marcola","2023-11-27 16:41:22",1.00000,3,tedmarcola
95,11310118,"Xinwei Li 265","2023-11-27 17:15:29",1.00000,3,xinweili265
96,11310392,"Taylor #4","2023-11-27 18:18:30",1.00000,3,taylor1233
97,11310441,"Minmin Hu","2023-11-27 18:30:22",1.00000,3,minminhu1995
98,11310743,"Hu Yang","2023-11-27 19:43:51",1.00000,3,huyang721
99,11310762,"Selena Xia","2023-11-27 19:52:56",1.00000,3,selenaxia
100,11310122,"Harika Chava","2023-11-27 20:49:33",1.00000,7,harikachava
101,11310955,"Vikram Kishinchandani","2023-11-27 20:56:05",1.00000,3,vikramkishinchandani
102,11311377,SonuTmg,"2023-11-27 23:22:47",1.00000,3,sonutmg
103,11311442,YYYYYYDDDDDDD,"2023-11-27 23:56:22",1.00000,3,yyyyyyddddddd
104,11311611,yluo,"2023-11-28 01:12:52",1.00000,3,jacb22smith
105,11311821,"Yun Miao","2023-11-28 02:14:55",1.00000,3,mmyunn
106,11311859,"Huixuan Mei","2023-11-28 02:25:43",1.00000,3,huixuanmei
107,11114610,Vincent465072111,"2023-11-28 03:22:19",1.00000,1,vincent465072111
108,11312205,"Bahauddin Taha ","2023-11-28 03:42:18",1.00000,1,bahauddintaha
109,11312208,"Hai W.","2023-11-28 03:43:48",1.00000,3,hweng22
110,3735617,zengao1997,"2023-11-28 05:20:25",1.00000,3,zengao1997
111,11312561,Sam34363,"2023-11-28 05:26:33",1.00000,3,sam34363
112,11313169,"Ching Hong Wu","2023-11-28 07:32:45",1.00000,3,chinghongwu
113,11313769,TimeLong,"2023-11-29 14:03:21",1.00000,4,timelong
114,11314593,fanhaotian,"2023-11-28 12:47:17",1.00000,1,fanhaotian
115,11315102,"Yuning Hu","2023-11-28 14:33:09",1.00000,3,carinagirl
116,11315426,"Jason Xu01","2023-11-28 15:42:16",1.00000,3,jasonxu01
117,11315921,"Fatema Nihar","2023-11-28 17:57:44",1.00000,3,fatemanihar
118,11316406,"Srijith Reddy","2023-11-28 19:59:06",1.00000,3,srijithreddy1212
119,11316460,"Tushita Berry","2023-11-28 20:13:41",1.00000,3,tushitaberry
120,11316539,"Sai Srinivas Banotu","2023-11-28 20:34:30",1.00000,3,saisrinivasbanotu
121,11316608,Sara-Sarwath,"2023-11-28 20:59:32",1.00000,3,sarasarwath
122,11316758,"Jyotshna Garlapati","2023-11-28 21:50:50",1.00000,3,jyotshnagarlapa
123,9526795,"Nam Quách","2023-11-29 01:19:26",1.00000,4,quachnam
124,11317252,"Miaomiao Chi","2023-11-29 01:20:49",1.00000,3,miaomiaochi
125,11317285,"Apoorva Vajjiparthi","2023-11-29 01:37:47",1.00000,3,apoorvavajjiparthi
126,11317318,"Jun Xiao #2","2023-11-29 01:40:25",1.00000,3,junxiao57
127,11317452,"Xiran Liu #2","2023-11-29 02:12:34",1.00000,3,xiranliu
128,11317520,"Ying (Elaine) Chen","2023-11-29 02:27:43",1.00000,3,yingelainechen
129,11317575,"Fnu Laraib","2023-11-29 02:42:37",1.00000,3,fnularaib
130,11317610,"Tarang Bhatt","2023-11-29 02:50:46",1.00000,3,tarangbhatt
131,11317781,"Rui Huang #2","2023-11-29 03:25:18",1.00000,4,ruihuang99
132,11317863,"Tzu-Wei Wang","2023-11-29 03:42:51",1.00000,3,oskrrr
133,11317665,Rain娄越辰,"2023-11-29 03:46:29",1.00000,3,louyuechen0122
134,7904363,"Hanzhang Fang","2023-11-29 03:46:48",1.00000,1,hanzhangfang
135,11317713,alfcescoy6726,"2023-11-29 03:56:51",1.00000,2,alfcescoy6726
136,11317937,"Longyue Han","2023-11-29 04:02:07",1.00000,3,longyuehan
137,11318032,"Revathi Dasari","2023-11-29 04:37:28",1.00000,4,revathidasari
138,11318224,"Shukla Pooja","2023-11-29 05:29:54",1.00000,4,shuklapooja
139,11318323,"Huan Cao","2023-11-29 05:49:15",1.00000,3,hctrine
140,11318423,"Shuang Cheng","2023-11-29 06:06:57",1.00000,3,shuangchengs
141,11318504,"Huimin Wang","2023-11-29 06:23:21",1.00000,3,hw2671
142,11318548,"Faizan Ahmed Mohammad","2023-11-29 06:31:32",1.00000,3,faizanahmedmohammad
143,11318623,"Zaineb Siddiqui","2023-11-29 06:45:01",1.00000,3,zainebsiddiqui
144,11271763,"Yang Li #4","2023-12-12 08:12:14",1.00000,15,littlespider
145,11319403,"Md Touhedur Rahman","2023-11-29 09:33:05",1.00000,3,mdtouhedurrahman
146,11319476,"sharfuddin khaja","2023-11-29 09:48:39",1.00000,3,sharfuddinkhaja
147,11319530,"Syed Hussain Ali","2023-11-29 10:01:18",1.00000,3,syedhussainali345
148,11319770,"Hashim Shaik","2023-11-29 11:00:23",1.00000,3,hashimshaik7654
